Hora,KW,Meses,Días de la Semana,kW_promedio(Hora),kW_promedio(Meses),kW_promedio(Semana)
17,1690.18,1,1,4452.802573260074,2990.786090949821,5044.38390825688
17,1685.26,1,1,4452.802573260074,2990.786090949821,5044.38390825688
17,1676.14,1,1,4452.802573260074,2990.786090949821,5044.38390825688
17,1678.41,1,1,4452.802573260074,2990.786090949821,5044.38390825688
17,1800.45,1,1,4452.802573260074,2990.786090949821,5044.38390825688
18,1760.24,1,1,4100.877545787546,2990.786090949821,5044.38390825688
18,1719.47,1,1,4100.877545787546,2990.786090949821,5044.38390825688
18,1753.67,1,1,4100.877545787546,2990.786090949821,5044.38390825688
18,1683.07,1,1,4100.877545787546,2990.786090949821,5044.38390825688
18,1691.76,1,1,4100.877545787546,2990.786090949821,5044.38390825688
18,1664.39,1,1,4100.877545787546,2990.786090949821,5044.38390825688
19,1633.53,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
19,1613.38,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
19,1596.26,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
19,1569.48,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
19,1576.92,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
19,1587.23,1,1,3881.0380128205124,2990.786090949821,5044.38390825688
20,1591.86,1,1,3863.189253663004,2990.786090949821,5044.38390825688
20,1566.35,1,1,3863.189253663004,2990.786090949821,5044.38390825688
20,1580.28,1,1,3863.189253663004,2990.786090949821,5044.38390825688
20,1571.65,1,1,3863.189253663004,2990.786090949821,5044.38390825688
20,1554.39,1,1,3863.189253663004,2990.786090949821,5044.38390825688
20,1526.59,1,1,3863.189253663004,2990.786090949821,5044.38390825688
21,1538.34,1,1,3721.884642857143,2990.786090949821,5044.38390825688
21,1535.82,1,1,3721.884642857143,2990.786090949821,5044.38390825688
21,1517.57,1,1,3721.884642857143,2990.786090949821,5044.38390825688
21,1493.92,1,1,3721.884642857143,2990.786090949821,5044.38390825688
21,1498.1,1,1,3721.884642857143,2990.786090949821,5044.38390825688
21,1463.32,1,1,3721.884642857143,2990.786090949821,5044.38390825688
22,1432.68,1,1,3521.370782967033,2990.786090949821,5044.38390825688
22,1427.12,1,1,3521.370782967033,2990.786090949821,5044.38390825688
22,1408.82,1,1,3521.370782967033,2990.786090949821,5044.38390825688
22,1388.76,1,1,3521.370782967033,2990.786090949821,5044.38390825688
22,1409.08,1,1,3521.370782967033,2990.786090949821,5044.38390825688
22,1396.32,1,1,3521.370782967033,2990.786090949821,5044.38390825688
23,1362.81,1,1,3374.662664835165,2990.786090949821,5044.38390825688
23,1330.5,1,1,3374.662664835165,2990.786090949821,5044.38390825688
23,1331.92,1,1,3374.662664835165,2990.786090949821,5044.38390825688
23,1322.53,1,1,3374.662664835165,2990.786090949821,5044.38390825688
23,1330.7,1,1,3374.662664835165,2990.786090949821,5044.38390825688
23,1303.83,1,1,3374.662664835165,2990.786090949821,5044.38390825688
0,1322.53,1,2,3319.424849177331,2990.786090949821,4894.155759113366
0,1316.4,1,2,3319.424849177331,2990.786090949821,4894.155759113366
0,1300.47,1,2,3319.424849177331,2990.786090949821,4894.155759113366
0,1291.2,1,2,3319.424849177331,2990.786090949821,4894.155759113366
0,1288.44,1,2,3319.424849177331,2990.786090949821,4894.155759113366
0,1293.28,1,2,3319.424849177331,2990.786090949821,4894.155759113366
1,1293.57,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
1,1284.21,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
1,1298.53,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
1,1252.41,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
1,1261.9,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
1,1286.99,1,2,3325.8611461187215,2990.786090949821,4894.155759113366
2,1276.82,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
2,1274.04,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
2,1279.27,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
2,1252.75,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
2,1240.83,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
2,1244.86,1,2,3353.5758538812784,2990.786090949821,4894.155759113366
3,1249.36,1,2,3341.835109589041,2990.786090949821,4894.155759113366
3,1252.21,1,2,3341.835109589041,2990.786090949821,4894.155759113366
3,1253.55,1,2,3341.835109589041,2990.786090949821,4894.155759113366
3,1267.26,1,2,3341.835109589041,2990.786090949821,4894.155759113366
3,1271.75,1,2,3341.835109589041,2990.786090949821,4894.155759113366
3,1282.13,1,2,3341.835109589041,2990.786090949821,4894.155759113366
4,1262.84,1,2,3441.449703196347,2990.786090949821,4894.155759113366
4,1261.78,1,2,3441.449703196347,2990.786090949821,4894.155759113366
4,1269.13,1,2,3441.449703196347,2990.786090949821,4894.155759113366
4,1270.48,1,2,3441.449703196347,2990.786090949821,4894.155759113366
4,1286.15,1,2,3441.449703196347,2990.786090949821,4894.155759113366
4,1329.88,1,2,3441.449703196347,2990.786090949821,4894.155759113366
5,1334.2,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
5,1487.75,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
5,1600.97,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
5,1611.69,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
5,1637.36,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
5,1686.05,1,2,3782.7966301369866,2990.786090949821,4894.155759113366
6,1937.01,1,2,4435.286328767123,2990.786090949821,4894.155759113366
6,2083.79,1,2,4435.286328767123,2990.786090949821,4894.155759113366
6,2177.98,1,2,4435.286328767123,2990.786090949821,4894.155759113366
6,2246.88,1,2,4435.286328767123,2990.786090949821,4894.155759113366
6,2368.27,1,2,4435.286328767123,2990.786090949821,4894.155759113366
